"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 21, 2020","3,525.0","3,531.0","3,540.0","3,501.0","646.60K","-0.68%"
"Apr 20, 2020","3,549.0","3,524.0","3,589.0","3,517.0","1.68M","-0.36%"
"Apr 17, 2020","3,562.0","3,561.0","3,564.0","3,522.0","1.59M","1.83%"
"Apr 16, 2020","3,498.0","3,610.0","3,635.0","3,498.0","2.50M","-3.90%"
"Apr 15, 2020","3,640.0","3,661.0","3,666.0","3,620.0","1.81M","0.64%"
"Apr 14, 2020","3,617.0","3,587.0","3,629.0","3,558.0","1.15M","2.26%"
"Apr 13, 2020","3,537.0","3,660.0","3,660.0","3,523.0","1.28M","-3.65%"
"Apr 10, 2020","3,671.0","3,690.0","3,690.0","3,592.0","2.08M","0.55%"
"Apr 09, 2020","3,651.0","3,612.0","3,664.0","3,545.0","1.38M","1.08%"
"Apr 08, 2020","3,612.0","3,509.0","3,634.0","3,454.0","1.60M","4.45%"
"Apr 07, 2020","3,458.0","3,449.0","3,487.0","3,346.0","1.69M","2.16%"
"Apr 06, 2020","3,385.0","3,298.0","3,394.0","3,260.0","1.84M","1.59%"
"Apr 03, 2020","3,332.0","3,370.0","3,457.0","3,321.0","1.49M","-0.72%"
"Apr 02, 2020","3,356.0","3,345.0","3,417.0","3,323.0","2.15M","-1.70%"
"Apr 01, 2020","3,414.0","3,461.0","3,513.0","3,375.0","2.18M","-2.74%"
"Mar 31, 2020","3,510.0","3,697.0","3,699.0","3,499.0","2.01M","-4.12%"
"Mar 30, 2020","3,661.0","3,508.0","3,666.0","3,452.0","2.04M","3.74%"
"Mar 27, 2020","3,529.0","3,542.0","3,564.0","3,354.0","3.12M","2.98%"
"Mar 26, 2020","3,427.0","3,604.0","3,650.0","3,391.0","2.27M","-6.11%"
"Mar 25, 2020","3,650.0","3,709.0","3,737.0","3,572.0","2.92M","6.45%"
"Mar 24, 2020","3,429.0","3,361.0","3,448.0","3,334.0","2.70M","5.15%"
"Mar 23, 2020","3,261.0","3,252.0","3,355.0","3,116.0","4.33M","1.02%"
"Mar 19, 2020","3,228.0","3,115.0","3,369.0","3,006.0","4.26M","3.66%"
"Mar 18, 2020","3,114.0","3,115.0","3,162.0","3,076.0","4.83M","0.84%"
"Mar 17, 2020","3,088.0","3,059.0","3,214.0","3,017.0","4.38M","-1.22%"
"Mar 16, 2020","3,126.0","3,260.0","3,323.0","3,092.0","4.17M","-3.84%"
"Mar 13, 2020","3,251.0","3,180.0","3,380.0","3,102.0","4.17M","-7.64%"
"Mar 12, 2020","3,520.0","3,611.0","3,632.0","3,446.0","2.99M","-5.66%"
"Mar 11, 2020","3,731.0","3,740.0","3,829.0","3,698.0","2.66M","1.08%"
"Mar 10, 2020","3,691.0","3,690.0","3,700.0","3,545.0","2.66M","-1.99%"
"Mar 09, 2020","3,766.0","3,820.0","3,857.0","3,716.0","2.68M","-4.90%"
"Mar 06, 2020","3,960.0","4,030.0","4,055.0","3,943.0","2.59M","-3.39%"
"Mar 05, 2020","4,099.0","4,111.0","4,130.0","4,081.0","1.85M","0.37%"
"Mar 04, 2020","4,084.0","4,039.0","4,142.0","4,005.0","1.65M","0.20%"
"Mar 03, 2020","4,076.0","4,209.0","4,222.0","4,074.0","2.60M","-0.59%"
"Mar 02, 2020","4,100.0","4,023.0","4,148.0","3,999.0","4.59M","-1.20%"
"Feb 28, 2020","4,150.0","4,181.0","4,223.0","4,111.0","2.55M","-3.51%"
"Feb 27, 2020","4,301.0","4,365.0","4,381.0","4,291.0","1.72M","-2.43%"
"Feb 26, 2020","4,408.0","4,426.0","4,440.0","4,386.0","1.87M","-1.96%"
"Feb 25, 2020","4,496.0","4,583.0","4,583.0","4,491.0","2.06M","-6.33%"
"Feb 21, 2020","4,800.0","4,803.0","4,837.0","4,788.0","1.03M","-0.50%"
"Feb 20, 2020","4,824.0","4,885.0","4,894.0","4,808.0","1.04M","-0.02%"
"Feb 19, 2020","4,825.0","4,770.0","4,854.0","4,755.0","1.23M","1.90%"
"Feb 18, 2020","4,735.0","4,777.0","4,807.0","4,691.0","1.76M","-1.91%"
"Feb 17, 2020","4,827.0","4,959.0","4,985.0","4,819.0","1.32M","-3.67%"
"Feb 14, 2020","5,011.0","5,086.0","5,088.0","4,931.0","1.72M","-1.88%"
"Feb 13, 2020","5,107.0","5,095.0","5,117.0","5,044.0","1.43M","-1.69%"
"Feb 12, 2020","5,195.0","5,167.0","5,200.0","5,151.0","1.34M","0.58%"
"Feb 10, 2020","5,165.0","5,093.0","5,174.0","5,085.0","1.05M","1.04%"
"Feb 07, 2020","5,112.0","5,103.0","5,128.0","5,083.0","732.90K","0.16%"
"Feb 06, 2020","5,104.0","5,099.0","5,130.0","5,066.0","1.08M","0.85%"
"Feb 05, 2020","5,061.0","5,047.0","5,090.0","5,041.0","1.18M","0.80%"
"Feb 04, 2020","5,021.0","4,971.0","5,021.0","4,947.0","1.05M","0.00%"
"Feb 03, 2020","5,021.0","5,065.0","5,080.0","5,006.0","1.07M","-1.28%"
"Jan 31, 2020","5,086.0","5,130.0","5,140.0","5,060.0","1.41M","1.01%"
"Jan 30, 2020","5,035.0","5,002.0","5,057.0","4,997.0","908.00K","-0.02%"
"Jan 29, 2020","5,036.0","5,083.0","5,083.0","5,012.0","916.10K","-0.28%"
"Jan 28, 2020","5,050.0","5,050.0","5,072.0","5,030.0","898.80K","-1.00%"
"Jan 27, 2020","5,101.0","5,049.0","5,114.0","5,013.0","956.40K","-0.14%"
"Jan 24, 2020","5,108.0","5,073.0","5,135.0","5,067.0","1.09M","0.41%"
"Jan 23, 2020","5,087.0","5,052.0","5,119.0","5,045.0","1.15M","-0.41%"
"Jan 22, 2020","5,108.0","5,020.0","5,127.0","5,015.0","2.01M","2.86%"
"Jan 21, 2020","4,966.0","4,993.0","5,020.0","4,952.0","883.30K","-0.62%"
"Jan 20, 2020","4,997.0","5,045.0","5,045.0","4,994.0","495.40K","-0.14%"
"Jan 17, 2020","5,004.0","4,995.0","5,024.0","4,992.0","956.70K","0.66%"
"Jan 16, 2020","4,971.0","4,990.0","4,995.0","4,938.0","668.10K","0.63%"
"Jan 15, 2020","4,940.0","4,949.0","4,978.0","4,918.0","890.80K","-0.66%"
"Jan 14, 2020","4,973.0","4,963.0","4,978.0","4,933.0","950.50K","0.38%"
"Jan 10, 2020","4,954.0","4,983.0","5,001.0","4,927.0","910.80K","0.14%"
"Jan 09, 2020","4,947.0","4,929.0","4,955.0","4,905.0","1.01M","0.57%"
"Jan 08, 2020","4,919.0","4,899.0","4,942.0","4,866.0","1.70M","0.45%"
"Jan 07, 2020","4,897.0","4,913.0","4,913.0","4,865.0","1.17M","0.84%"
"Jan 06, 2020","4,856.0","4,928.0","4,948.0","4,846.0","1.03M","-2.55%"
"Dec 30, 2019","4,983.0","5,022.0","5,036.0","4,983.0","590.10K","-0.84%"
"Dec 27, 2019","5,025.0","5,040.0","5,047.0","5,022.0","602.70K","-1.08%"
"Dec 26, 2019","5,080.0","5,050.0","5,083.0","5,041.0","782.40K","0.59%"
"Dec 25, 2019","5,050.0","5,046.0","5,071.0","5,036.0","574.00K","-0.16%"
"Dec 24, 2019","5,058.0","5,075.0","5,090.0","5,047.0","785.10K","-0.59%"
"Dec 23, 2019","5,088.0","5,151.0","5,163.0","5,074.0","1.14M","-0.80%"
"Dec 20, 2019","5,129.0","5,143.0","5,168.0","5,129.0","1.00M","-0.25%"
"Dec 19, 2019","5,142.0","5,126.0","5,165.0","5,124.0","852.20K","-0.64%"
"Dec 18, 2019","5,175.0","5,177.0","5,200.0","5,139.0","1.04M","0.90%"
"Dec 17, 2019","5,129.0","5,164.0","5,182.0","5,106.0","1.27M","-0.49%"
"Dec 16, 2019","5,154.0","5,181.0","5,190.0","5,130.0","1.07M","-0.52%"
"Dec 13, 2019","5,181.0","5,133.0","5,192.0","5,110.0","2.12M","1.99%"
"Dec 12, 2019","5,080.0","5,122.0","5,131.0","5,057.0","1.31M","-1.11%"
"Dec 11, 2019","5,137.0","5,189.0","5,208.0","5,108.0","1.44M","-0.23%"
"Dec 10, 2019","5,149.0","5,189.0","5,209.0","5,149.0","912.40K","-0.41%"
"Dec 09, 2019","5,170.0","5,220.0","5,221.0","5,159.0","975.80K","0.14%"
"Dec 06, 2019","5,163.0","5,234.0","5,240.0","5,158.0","1.19M","-1.43%"
"Dec 05, 2019","5,238.0","5,280.0","5,280.0","5,222.0","843.90K","-0.68%"
"Dec 04, 2019","5,274.0","5,246.0","5,276.0","5,234.0","766.20K","0.06%"
"Dec 03, 2019","5,271.0","5,257.0","5,306.0","5,257.0","986.70K","0.09%"
"Dec 02, 2019","5,266.0","5,273.0","5,302.0","5,252.0","889.50K","0.00%"
"Nov 29, 2019","5,266.0","5,291.0","5,303.0","5,249.0","816.20K","0.00%"
"Nov 28, 2019","5,266.0","5,220.0","5,274.0","5,215.0","751.10K","1.25%"
"Nov 27, 2019","5,201.0","5,240.0","5,255.0","5,201.0","963.80K","0.02%"
"Nov 26, 2019","5,200.0","5,320.0","5,344.0","5,200.0","2.00M","-2.99%"
"Nov 25, 2019","5,360.0","5,346.0","5,371.0","5,328.0","572.10K","0.66%"
"Nov 22, 2019","5,325.0","5,338.0","5,379.0","5,321.0","780.60K","-0.26%"
"Nov 21, 2019","5,339.0","5,335.0","5,392.0","5,284.0","1.37M","-0.21%"
"Nov 20, 2019","5,350.0","5,291.0","5,354.0","5,285.0","1.09M","1.42%"
"Nov 19, 2019","5,275.0","5,295.0","5,325.0","5,257.0","599.80K","0.13%"
"Nov 18, 2019","5,268.0","5,237.0","5,285.0","5,203.0","803.80K","-0.47%"
"Nov 15, 2019","5,293.0","5,284.0","5,307.0","5,254.0","993.60K","0.95%"
"Nov 14, 2019","5,243.0","5,249.0","5,275.0","5,205.0","738.80K","0.48%"
"Nov 13, 2019","5,218.0","5,264.0","5,289.0","5,218.0","1.14M","-1.38%"
"Nov 12, 2019","5,291.0","5,252.0","5,304.0","5,236.0","930.90K","-0.47%"
"Nov 11, 2019","5,316.0","5,195.0","5,335.0","5,186.0","1.34M","2.43%"
"Nov 08, 2019","5,190.0","5,221.0","5,276.0","5,177.0","2.80M","0.23%"
"Nov 07, 2019","5,178.0","5,169.0","5,244.0","5,153.0","2.27M","-0.06%"
"Nov 06, 2019","5,181.0","5,215.0","5,256.0","5,118.0","3.09M","-6.06%"
"Nov 05, 2019","5,515.0","5,484.0","5,527.0","5,431.0","1.64M","1.60%"
"Nov 01, 2019","5,428.0","5,407.0","5,443.0","5,394.0","493.70K","-0.04%"
"Oct 31, 2019","5,430.0","5,450.0","5,480.0","5,417.0","884.80K","0.00%"
"Oct 30, 2019","5,430.0","5,389.0","5,450.0","5,387.0","1.16M","0.69%"
"Oct 29, 2019","5,393.0","5,440.0","5,442.0","5,372.0","768.10K","-0.13%"
"Oct 28, 2019","5,400.0","5,400.0","5,417.0","5,379.0","549.70K","-0.68%"
"Oct 25, 2019","5,437.0","5,407.0","5,442.0","5,403.0","646.30K","0.39%"
"Oct 24, 2019","5,416.0","5,468.0","5,473.0","5,407.0","701.80K","-0.55%"
"Oct 23, 2019","5,446.0","5,395.0","5,468.0","5,388.0","1.22M","1.62%"
"Oct 21, 2019","5,359.0","5,308.0","5,390.0","5,306.0","601.90K","1.30%"
"Oct 18, 2019","5,290.0","5,398.0","5,403.0","5,257.0","1.79M","-2.85%"
"Oct 17, 2019","5,445.0","5,400.0","5,461.0","5,397.0","1.36M","0.20%"
"Oct 16, 2019","5,434.0","5,530.0","5,578.0","5,406.0","1.61M","-1.02%"
"Oct 15, 2019","5,490.0","5,533.0","5,536.0","5,451.0","1.29M","0.18%"
"Oct 11, 2019","5,480.0","5,499.0","5,499.0","5,442.0","1.41M","0.55%"
"Oct 10, 2019","5,450.0","5,404.0","5,457.0","5,365.0","1.27M","0.83%"
"Oct 09, 2019","5,405.0","5,353.0","5,415.0","5,340.0","1.29M","0.91%"
"Oct 08, 2019","5,356.0","5,372.0","5,378.0","5,318.0","1.08M","0.13%"
"Oct 07, 2019","5,349.0","5,398.0","5,409.0","5,330.0","858.60K","-1.15%"
"Oct 04, 2019","5,411.0","5,358.0","5,411.0","5,322.0","889.60K","1.06%"
"Oct 03, 2019","5,354.0","5,333.0","5,372.0","5,315.0","956.10K","-1.00%"
"Oct 02, 2019","5,408.0","5,390.0","5,437.0","5,374.0","836.20K","0.39%"
"Oct 01, 2019","5,387.0","5,390.0","5,412.0","5,360.0","704.60K","0.69%"
"Sep 30, 2019","5,350.0","5,375.0","5,386.0","5,325.0","1.12M","-0.76%"
"Sep 27, 2019","5,391.0","5,401.0","5,426.0","5,329.0","1.23M","0.45%"
"Sep 26, 2019","5,367.0","5,345.0","5,383.0","5,312.0","1.53M","0.28%"
"Sep 25, 2019","5,352.0","5,378.0","5,390.0","5,305.0","894.60K","-0.46%"
"Sep 24, 2019","5,377.0","5,309.0","5,394.0","5,303.0","1.30M","1.34%"
"Sep 20, 2019","5,306.0","5,367.0","5,380.0","5,293.0","1.51M","-0.45%"
"Sep 19, 2019","5,330.0","5,360.0","5,405.0","5,313.0","1.24M","0.19%"
"Sep 18, 2019","5,320.0","5,298.0","5,380.0","5,282.0","1.07M","0.87%"
"Sep 17, 2019","5,274.0","5,278.0","5,293.0","5,228.0","1.39M","-0.06%"
"Sep 13, 2019","5,277.0","5,280.0","5,309.0","5,231.0","2.46M","1.54%"
"Sep 12, 2019","5,197.0","5,195.0","5,221.0","5,170.0","1.48M","0.31%"
"Sep 11, 2019","5,181.0","5,088.0","5,187.0","5,071.0","1.43M","1.53%"
"Sep 10, 2019","5,103.0","5,112.0","5,142.0","5,091.0","861.00K","-0.62%"
"Sep 09, 2019","5,135.0","5,086.0","5,135.0","5,070.0","996.30K","1.08%"
"Sep 06, 2019","5,080.0","5,099.0","5,138.0","5,056.0","1.34M","-0.06%"
"Sep 05, 2019","5,083.0","5,040.0","5,109.0","4,995.0","2.06M","0.85%"
"Sep 04, 2019","5,040.0","5,020.0","5,075.0","4,992.0","887.10K","0.44%"
"Sep 03, 2019","5,018.0","4,972.0","5,026.0","4,957.0","803.80K","0.84%"
"Sep 02, 2019","4,976.0","4,910.0","4,999.0","4,893.0","801.30K","0.40%"
"Aug 30, 2019","4,956.0","4,897.0","4,957.0","4,879.0","1.11M","1.02%"
"Aug 29, 2019","4,906.0","4,893.0","4,910.0","4,862.0","737.40K","-0.18%"
